141,2023-05-01,Monthly Stand Fees,1919,175.00,26.25,201.25
123,2023-05-01,Monthly Stand Fees,1903,175.00,26.25,201.25
124,2023-05-01,Monthly Stand Fees,1905,175.00,26.25,201.25
126,2023-05-01,Monthly Stand Fees,1907,175.00,26.25,201.25
129,2023-05-01,Monthly Stand Fees,1909,175.00,26.25,201.25
131,2023-05-01,Monthly Stand Fees,1911,175.00,26.25,201.25
134,2023-05-01,Monthly Stand Fees,1913,175.00,26.25,201.25
136,2023-05-01,Monthly Stand Fees,1915,175.00,26.25,201.25
139,2023-05-01,Monthly Stand Fees,1917,175.00,26.25,201.25
141,2023-05-01,Monthly Stand Fees,1919,175.00,26.25,201.25
123,2023-06-01,Monthly Stand Fees,1903,175.00,26.25,201.25
124,2023-06-01,Monthly Stand Fees,1905,175.00,26.25,201.25
126,2023-06-01,Monthly Stand Fees,1907,175.00,26.25,201.25
129,2023-06-01,Monthly Stand Fees,1909,175.00,26.25,201.25
131,2023-06-01,Monthly Stand Fees,1911,175.00,26.25,201.25
134,2023-06-01,Monthly Stand Fees,1913,175.00,26.25,201.25
136,2023-06-01,Monthly Stand Fees,1915,175.00,26.25,201.25
139,2023-06-01,Monthly Stand Fees,1917,175.00,26.25,201.25
141,2023-06-01,Monthly Stand Fees,1919,175.00,26.25,201.25
123,2023-07-01,Monthly Stand Fees,1903,175.00,26.25,201.25
124,2023-07-01,Monthly Stand Fees,1905,175.00,26.25,201.25
126,2023-07-01,Monthly Stand Fees,1907,175.00,26.25,201.25
129,2023-07-01,Monthly Stand Fees,1909,175.00,26.25,201.25
131,2023-07-01,Monthly Stand Fees,1911,175.00,26.25,201.25
134,2023-07-01,Monthly Stand Fees,1913,175.00,26.25,201.25
136,2023-07-01,Monthly Stand Fees,1915,175.00,26.25,201.25
139,2023-07-01,Monthly Stand Fees,1917,175.00,26.25,201.25
141,2023-07-01,Monthly Stand Fees,1919,175.00,26.25,201.25
123,2023-08-01,Monthly Stand Fees,1903,175.00,26.25,201.25
124,2023-08-01,Monthly Stand Fees,1905,175.00,26.25,201.25
126,2023-08-01,Monthly Stand Fees,1907,175.00,26.25,201.25
129,2023-08-01,Monthly Stand Fees,1909,175.00,26.25,201.25
131,2023-08-01,Monthly Stand Fees,1911,175.00,26.25,201.25
134,2023-08-01,Monthly Stand Fees,1913,175.00,26.25,201.25
136,2023-08-01,Monthly Stand Fees,1915,175.00,26.25,201.25
139,2023-08-01,Monthly Stand Fees,1917,175.00,26.25,201.25
